Name,Agent,State,Notes,User,Tags,Created,Runtime,Sweep,AU,C,MP,config_file,draw_plots_flag,external_set,feature_selection,learning_rate,max_depth,max_iter,max_leaf_nodes,method,metric.goal,metric.name,model_name,name,num_configs,num_features,num_fold,num_folds,oversampling,parameters.C.distribution,parameters.C.max,parameters.C.min,parameters.config_file.distribution,parameters.config_files,parameters.external_set.distribution,parameters.external_sets,parameters.learning_rate.distribution,parameters.learning_rate.max,parameters.learning_rate.min,parameters.max_depth.distribution,parameters.max_depth.max,parameters.max_depth.min,parameters.max_iter.distribution,parameters.max_iter.max,parameters.max_iter.min,parameters.max_leaf_nodes.distribution,parameters.max_leaf_nodes.max,parameters.max_leaf_nodes.min,parameters.model_name.distribution,parameters.model_names,parameters.name.distribution,parameters.names,parameters.num_configs.distribution,parameters.num_configs.max,parameters.num_configs.min,parameters.num_features.distribution,parameters.num_features.max,parameters.num_features.min,parameters.num_folds.distribution,parameters.num_foldss,parameters.penalty.distribution,parameters.penaltys,parameters.random_state.distribution,parameters.random_state.max,parameters.random_state.min,parameters.solver.distribution,parameters.solvers,parameters.sorting_metric.distribution,parameters.sorting_metrics,parameters.tol.distribution,parameters.tol.max,parameters.tol.min,penalty,program,random_state,scaler,solver,sorting_metric,store_predictions,tol,Accuracy,F1 Score (Non PD),F1 Score (PD),Model Name,NPV,Precision/PPV,ROC AUC,Recall/Sensitivity,Specificity
stoic-sweep-6073,,finished,-,,,2024-12-07T05:49:17.000Z,112,rdkgmyly,,,,,,superPARK,,0.0822066318662971,49,,45,,,,HistGradientBoosting,,,37,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1710,,,coeff,,,76.08,80.42,69.26,HistGradientBoosting,81.27,68.15,79.59,70.42,79.59
jumping-sweep-1142,,finished,-,,,2024-12-07T00:03:08.000Z,43,rdkgmyly,,,,,,superPARK,,0.0902417968849477,17,,9,,,,HistGradientBoosting,,,27,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4246,,,pvalue,,,76.08,80.72,68.49,HistGradientBoosting,80.31,69.07,79.01,67.92,81.14
vibrant-sweep-4970,,finished,-,,,2024-12-07T04:37:29.000Z,54,rdkgmyly,,,,,,superPARK,,0.8699040926596546,34,,42,,,,HistGradientBoosting,,,42,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1160,,,pvalue,,,76.08,80.11,70.0,HistGradientBoosting,82.29,67.31,78.94,72.92,78.04
rural-sweep-8274,,finished,-,,,2024-12-07T08:14:56.000Z,79,rdkgmyly,,,,,,superPARK,,0.4265412028413849,55,,48,,,,HistGradientBoosting,,,36,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3162,,,pvalue,,,76.08,80.42,69.26,HistGradientBoosting,81.27,68.15,79.82,70.42,79.59
devout-sweep-3932,,finished,-,,,2024-12-07T03:28:27.000Z,104,rdkgmyly,,,,,,superPARK,,0.2109764927041061,67,,33,,,,HistGradientBoosting,,,27,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1564,,,pvalue,,,76.08,79.95,70.36,HistGradientBoosting,82.83,66.92,78.94,74.17,77.26
trim-sweep-8716,,finished,-,,,2024-12-07T08:43:31.000Z,105,rdkgmyly,,,,,,superPARK,,0.046105884629717,76,,40,,,,HistGradientBoosting,,,34,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5686,,,pvalue,,,76.08,79.62,71.04,HistGradientBoosting,83.95,66.19,78.98,76.67,75.71
trim-sweep-10308,,finished,-,,,2024-12-07T10:30:03.000Z,84,rdkgmyly,,,,,,superPARK,,0.1770425111270879,45,,32,,,,HistGradientBoosting,,,33,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3506,,,pvalue,,,76.08,79.89,70.47,HistGradientBoosting,83.01,66.79,80.1,74.58,77.0
upbeat-sweep-11971,,finished,-,,,2024-12-07T12:20:41.000Z,117,rdkgmyly,,,,,,superPARK,,0.1822826760909741,28,,34,,,,HistGradientBoosting,,,42,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2289,,,pvalue,,,76.08,79.89,70.47,HistGradientBoosting,83.01,66.79,78.2,74.58,77.0
sunny-sweep-8105,,finished,-,,,2024-12-07T08:04:13.000Z,58,rdkgmyly,,,,,,superPARK,,0.1053680479253033,14,,13,,,,HistGradientBoosting,,,36,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3179,,,coeff,,,76.08,80.62,68.75,HistGradientBoosting,80.62,68.75,78.94,68.75,80.62
celestial-sweep-6812,,finished,-,,,2024-12-07T06:38:12.000Z,92,rdkgmyly,,,,,,superPARK,,0.0748653963034471,45,,35,,,,HistGradientBoosting,,,40,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4979,,,pvalue,,,76.08,80.16,69.88,HistGradientBoosting,82.11,67.44,80.63,72.5,78.29
